Year,Make,Model,Body,Category,0-60,Top Speed,Rating,0_60_sec,TopSpeed_mph
1951-1956,Bugatti,Type 101,Coachbuilt,Grand Tour...,14.0 secs,120mph,62.0,14.0,120.0
1992-1995,Bugatti,EB110 GT,Coupe,Supercar,3.5 secs,212mph,65.0,3.5,212.0
2005-2015,Bugatti,Veyron,Coupe,Hypercar,2.6 secs,253mph,65.0,2.6,253.0
1930-1940,Cadillac,V16,Convertibl...,Pre-War,-,100mph,45.0,,100.0
1959-1959,Cadillac,Eldorado Biarritz,Convertibl...,Film Star,11.2 secs,126mph,40.0,11.2,126.0
1953-1962,Chevrolet,Corvette,Convertibl...,Popular Cl...,6.9 secs,126mph,38.0,6.9,126.0
1963-1963,Chevrolet,Corvette Sting Ray,Convertibl...,Popular Cl...,9.1 secs,118-150mph,41.0,9.1,118.0
1947-1948,Cisitalia,202 MM Spyder Nuvolari,Open,Sports-Rac...,16.0 secs,121mph,68.0,16.0,121.0
1947-1952,Cisitalia,202 Berlinetta,Coupe,Grand Tour...,16.0 secs,100mph,60.0,16.0,100.0
1934-1957,Citroën,Traction Avant,Saloon,Popular Cl...,19.3 secs,80mph,25.0,19.3,80.0
1955-1975,Citroën,DS,Saloon,Popular Cl...,11.2 secs,114mph,25.0,11.2,114.0
1961-1969,Citroën,2CV,Saloon,Popular Cl...,-,47mph,15.0,,47.0
1965-1972,Citroën,DS Chapron,Convertibl...,Grand Tour...,12.0 secs,111mph,60.0,12.0,111.0
1968-1988,Citroën,Méhari,Convertibl...,Popular Cl...,30.8 secs,68.6mph,22.0,30.8,68.6
1970-1975,Citroën,SM,Coupe,Grand Tour...,8.0 secs,140mph,35.0,8.0,140.0
1929-1932,Cord,L-29,Convertibl...,Pre-War,20.0 secs,80mph,60.0,20.0,80.0
1936-1936,Cord,810,Saloon,Pre-War,20.0 secs,93mph,52.0,20.0,93.0
1937-1937,Cord,812,Convertibl...,Pre-War,13.2 secs,110mph,54.0,13.2,110.0
1959-1964,Daimler,SP250,Convertibl...,Popular Cl...,9.0 secs,120mph,30.0,9.0,120.0
1967-1972,De Tomaso,Mangusta,Coupe,Supercar,6.9 secs,155mph,60.0,6.9,155.0
1971-1974,De Tomaso,Pantera,Coupe,Supercar,6.5 secs,159mph,38.0,6.5,159.0
1930-1953,Delage,D6,Coachbuilt,Grand Tour...,20.0 secs,70-85mph,50.0,20.0,70.0
1935-1953,Delahaye,135,Coachbuilt,Grand Tour...,13.0 secs,115mph,61.0,13.0,115.0
1951-1954,Delahaye,235,Coachbuilt,Grand Tour...,14.0 secs,120mph,52.0,14.0,120.0
1981-1983,DeLorean,DMC 12,Coupe,"Film Star,...",10.0 secs,125mph,25.0,10.0,125.0
1955-1959,DKW,3=6,Saloon,Popular Cl...,32.0 secs,75mph,22.0,32.0,75.0
