Year,Make,Model,Body,Category,0-60,Top Speed,Rating
Sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort
1963-1969,Maserati,Quattroporte,Saloon,Wolf in Sh...,8.7 secs,130-140mph,30
1963-1970,Maserati,Mistral,Coupe,Grand Tour...,8.3 secs,155mph,55
1964-1970,Maserati,Mistral Spyder,Convertibl...,Grand Tour...,8.6 secs,150mph,69
1965-1972,Maserati,Mexico,Coupe,Grand Tour...,7.2 secs,148mph,35
1966-1973,Maserati,Ghibli Coupé,Coupe,Grand Tour...,6.8 secs,154mph,56
1969-1972,Maserati,Ghibli Spyder,Convertibl...,Grand Tour...,7.0 secs,145mph,73
1969-1974,Maserati,Indy,Coupe,Grand Tour...,7.5 secs,152mph,35
1971-1978,Maserati,Bora,Coupe,Grand Tour...,6.5 secs,162mph,55
1972-1976,Maserati,Merak,Coupe,Grand Tour...,9.0 secs,135mph,33
1974-1982,Maserati,Khamsin,Coupe,Grand Tour...,8.1 secs,160mph,45
1981-1994,Maserati,Biturbo,"Coupe, Sal...",Popular Cl...,6.5 secs,135mph,15
2004-2005,Maserati,MC12,Coupe,Hypercar,3.8 secs,205mph,69
1962-1968,Matra,Djet,Coupe,Popular Cl...,11.0 secs,103/118mph,33
1972-1974,Matra,MS670,Open,Sports-Rac...,3.2 secs,205mph,79
1973-1980,Matra,Bagheera,Coupe,Popular Cl...,12.2 secs,116mph,30
1978-1985,Mazda,RX7,Coupe,Popular Cl...,7.0 secs,120mph,16
1990-1998,Mazda,MX-5 NA,Convertibl...,Popular Cl...,8.1 secs,126mph,15
1965-1965,McLaren,M1A,Open,Sports-Rac...,4.5 secs,160mph,72
1994-1998,McLaren,F1,Coupe,Hypercar,3.2 secs,242.95mph,95
2013-2015,McLaren,P1,Coupe,Hypercar,2.8 secs,217mph,80
1927-1928,Mercedes-Benz,36/220 S-Type,Coachbuilt,Grand Tour...,15.0 secs,110mph,77
1928-1932,Mercedes-Benz,SSK,Coachbuilt,Grand Tour...,13.0 secs,125mph,95
1930-1943,Mercedes-Benz,770 K,Coachbuilt,Dictators ...,23.0 secs,106mph,76
1933-1934,Mercedes-Benz,380 K,Coachbuilt,Grand Tour...,18.0 secs,85mph,68
1934-1936,Mercedes-Benz,500 K,Coachbuilt,Grand Tour...,16.0 secs,100mph,74
1936-1940,Mercedes-Benz,540 K,Coachbuilt,Grand Tour...,15.0 secs,106mph,75
1954-1957,Mercedes-Benz,300 SL 'Gullwing',Coupe,Grand Tour...,7.6 secs,160mph,75
1955-1955,Mercedes-Benz,300 SLR Coupé,Coupe,Grand Tour...,6.9 secs,176.47mph,100
1955-1956,Mercedes-Benz,300 SL 'Gullwing' Al...,Coupe,Grand Tour...,7.3 secs,162mph,80
